id,user,contest,place
1270,116,166,10
1271,116,179,57
1272,116,191,104
1273,117,1,117
1274,117,8,29
1275,117,24,119
1276,117,41,185
1277,117,42,76
1278,117,43,86
1279,117,51,132
1280,117,66,95
1281,117,83,55
1282,117,92,67
1283,117,97,37
1284,117,112,41
1285,117,117,47
1286,117,122,93
1287,117,143,22
1288,117,144,80
1289,117,146,100
1290,117,149,49
1291,117,150,97
1292,117,157,83
1293,117,161,45
1294,117,163,145
1295,117,167,35
1296,117,181,38
1297,117,190,95
1298,117,193,20
1299,117,200,67
1300,118,1,118
1301,118,143,10
1302,119,1,119
1303,120,1,120
1304,121,1,121
1305,121,58,133
1306,121,67,193
1307,121,96,94
1308,121,110,64
1309,121,128,159
1310,121,132,106
1311,121,152,80
1312,122,1,121
1313,122,2,158
1314,122,5,200
1315,122,27,166
1316,122,107,170
1317,122,122,118
1318,122,124,197
1319,122,140,118
1320,122,144,169
1321,122,146,117
1322,122,159,164
1323,122,161,162
1324,122,167,143
1325,122,181,70
1326,122,200,92
1327,123,1,123
1328,124,1,124
1329,124,43,126
1330,124,66,132
1331,125,1,125
1332,125,26,3
1333,125,51,138
1334,126,1,126
1335,126,5,27
1336,126,41,34
1337,126,82,34
1338,126,181,115
1339,127,1,126
1340,127,3,177
1341,127,39,70
1342,127,64,19
1343,127,76,147
1344,127,128,132
1345,127,131,182
1346,128,1,128
1347,129,1,129
1348,129,45,165
1349,129,49,114
1350,130,1,130
1351,130,42,151
1352,130,66,41
1353,130,161,97
1354,131,1,131
1355,131,119,182
1356,131,169,81
1357,132,1,131
1358,132,2,195
1359,132,24,162
1360,133,1,133
1361,133,14,160
1362,133,20,149
1363,133,31,134
1364,134,1,133
1365,134,8,104
1366,135,1,133
1367,136,1,136
1368,137,1,136
1369,137,8,79
1370,137,50,118
1371,137,88,26
1372,137,138,116
1373,137,141,67
1374,138,1,136
1375,138,14,119
1376,138,18,143
1377,138,26,82
1378,138,51,150
1379,138,58,189
1380,138,67,167
1381,138,75,48
1382,138,82,61
1383,138,118,166
1384,138,122,97
1385,138,132,9
1386,138,149,92
1387,139,1,139
